word,frequency,frequency_in_percent
_total,6437390,100.004525
the,549740,8.539796
of,271491,4.217408
and,225168,3.497815
in,222943,3.463251
to,154337,2.397509
was,88592,1.37621
is,66670,1.035668
as,65657,1.019932
on,65106,1.011373
for,64350,0.999629
by,56352,0.875386
with,55277,0.858687
at,45906,0.713115
that,44635,0.693371
from,41985,0.652205
he,41573,0.645805
it,34741,0.539675
his,34163,0.530696
an,30242,0.469787
were,24627,0.382562
which,21957,0.341085
are,21915,0.340433
also,21340,0.331501
or,19046,0.295865
be,18772,0.291609
this,18748,0.291236
first,18126,0.281574
had,17360,0.269675
one,16039,0.249154
has,15935,0.247538
new,15854,0.24628
their,15550,0.241558
after,15047,0.233744
its,14700,0.228353
who,14023,0.217837
not,13983,0.217215
but,13234,0.20558
they,13187,0.20485
two,12987,0.201743
references,12946,0.201106
she,12764,0.198279
have,12396,0.192563
her,12341,0.191708
been,11048,0.171622
other,10798,0.167739
all,10633,0.165176
during,10322,0.160344
time,9945,0.154488
when,9714,0.1509
into,8960,0.139187
may,8887,0.138053
there,8296,0.128872
more,8143,0.126495
year,8072,0.125392
national,8028,0.124709
world,8004,0.124336
university,7989,0.124103
would,7920,0.123031
season,7910,0.122876
city,7786,0.12095
over,7670,0.119148
most,7561,0.117454
state,7480,0.116196
up,7450,0.11573
years,7415,0.115186
only,7354,0.114239
between,7353,0.114223
later,7335,0.113944
school,7264,0.112841
united,7046,0.109454
such,7000,0.10874
no,6995,0.108662
three,6936,0.107746
team,6908,0.107311
external,6880,0.106876
where,6873,0.106767
links,6802,0.105664
some,6744,0.104763
film,6642,0.103178
while,6623,0.102883
can,6596,0.102464
war,6552,0.10178
used,6501,0.100988
about,6492,0.100848
out,6348,0.098611
under,6341,0.098503
states,6309,0.098006
people,6252,0.09712
south,6248,0.097058
history,6223,0.09667
made,6183,0.096048
then,6130,0.095225
second,6107,0.094868
than,6022,0.093547
him,6010,0.093361
known,5972,0.092771
born,5939,0.092258
part,5907,0.091761
series,5845,0.090798
being,5812,0.090285
many,5765,0.089555
including,5657,0.087877
these,5599,0.086976
through,5588,0.086805
became,5541,0.086075
against,5487,0.085236
both,5464,0.084879
group,5387,0.083683
before,5335,0.082875
league,5288,0.082145
life,5246,0.081493
early,5206,0.080871
since,5178,0.080436
well,5168,0.080281
family,5037,0.078246
high,4969,0.07719
north,4968,0.077174
following,4923,0.076475
until,4896,0.076056
march,4882,0.075838
music,4828,0.074999
them,4806,0.074658
four,4796,0.074502
however,4789,0.074394
see,4715,0.073244
game,4657,0.072343
government,4644,0.072141
county,4601,0.071473
john,4562,0.070867
area,4536,0.070463
career,4525,0.070292
number,4521,0.07023
work,4488,0.069718
name,4452,0.069158
international,4447,0.069081
day,4404,0.068413
club,4386,0.068133
played,4324,0.06717
august,4284,0.066549
released,4269,0.066316
called,4262,0.066207
several,4226,0.065648
women,4212,0.06543
general,4208,0.065368
college,4153,0.064514
district,4125,0.064079
album,4101,0.063706
house,4092,0.063566
former,4080,0.06338
won,4069,0.063209
company,4043,0.062805
will,4038,0.062727
member,4021,0.062463
same,4013,0.062339
public,3941,0.06122
based,3911,0.060754
party,3888,0.060397
list,3845,0.059729
found,3844,0.059714
place,3827,0.05945
each,3807,0.059139
century,3786,0.058813
end,3783,0.058766
home,3733,0.057989
west,3707,0.057585
so,3683,0.057213
use,3656,0.056793
due,3602,0.055954
football,3589,0.055752
if,3570,0.055457
like,3542,0.055022
best,3523,0.054727
church,3495,0.054292
began,3491,0.05423
long,3485,0.054137
held,3483,0.054106
president,3467,0.053857
french,3384,0.052568
system,3344,0.051947
members,3322,0.051605
order,3322,0.051605
east,3274,0.050859
river,3266,0.050735
around,3265,0.050719
now,3261,0.050657
final,3242,0.050362
any,3233,0.050222
song,3214,0.049927
local,3213,0.049912
line,3198,0.049679
service,3194,0.049616
five,3188,0.049523
named,3185,0.049477
because,3182,0.04943
left,3169,0.049228
army,3164,0.04915
did,3157,0.049042
town,3145,0.048855
population,3137,0.048731
major,3133,0.048669
third,3119,0.048451
st,3107,0.048265
station,3102,0.048187
back,3095,0.048078
located,3076,0.047783
within,3053,0.047426
official,3044,0.047286
took,3026,0.047007
death,3024,0.046976
games,3022,0.046944
old,3013,0.046805
said,3011,0.046774
single,3003,0.046649
along,3001,0.046618
off,2999,0.046587
age,2991,0.046463
species,2981,0.046308
air,2972,0.046168
player,2947,0.045779
another,2943,0.045717
law,2933,0.045562
served,2925,0.045438
country,2923,0.045407
show,2921,0.045376
book,2919,0.045344
times,2919,0.045344
could,2914,0.045267
men,2903,0.045096
received,2884,0.044801
set,2879,0.044723
building,2851,0.044288
built,2841,0.044133
main,2841,0.044133
original,2837,0.044071
us,2814,0.043713
park,2814,0.043713
top,2811,0.043667
band,2785,0.043263
division,2780,0.043185
education,2769,0.043014
large,2739,0.042548
million,2736,0.042502
development,2728,0.042377
play,2725,0.042331
according,2723,0.0423
although,2722,0.042284
last,2716,0.042191
ii,2714,0.04216
died,2696,0.04188
small,2689,0.041772
record,2673,0.041523
great,2671,0.041492
published,2665,0.041399
white,2657,0.041274
award,2653,0.041212
art,2645,0.041088
road,2638,0.040979
include,2634,0.040917
children,2633,0.040902
those,2621,0.040715
la,2620,0.0407
included,2615,0.040622
court,2597,0.040342
led,2572,0.039954
military,2569,0.039907
still,2566,0.039861
own,2565,0.039845
council,2565,0.039845
king,2563,0.039814
championship,2555,0.03969
what,2555,0.03969
water,2542,0.039488
announced,2531,0.039317
central,2526,0.03924
black,2512,0.039022
among,2512,0.039022
side,2511,0.039006
center,2508,0.03896
often,2495,0.038758
down,2490,0.03868
village,2490,0.03868
political,2489,0.038665
form,2461,0.03823
production,2457,0.038168
six,2456,0.038152
near,2450,0.038059
cup,2447,0.038012
press,2396,0.03722
association,2395,0.037205
office,2386,0.037065
election,2363,0.036707
further,2357,0.036614
you,2356,0.036599
director,2353,0.036552
son,2352,0.036537
different,2321,0.036055
very,2311,0.0359
research,2308,0.035853
community,2307,0.035838
late,2302,0.03576
works,2300,0.035729
father,2299,0.035713
role,2298,0.035698
non,2295,0.035651
do,2295,0.035651
power,2295,0.035651
again,2293,0.03562
title,2291,0.035589
km,2281,0.035434
website,2272,0.035294
island,2261,0.035123
man,2255,0.03503
social,2251,0.034968
moved,2244,0.034859
department,2240,0.034797
support,2228,0.03461
field,2227,0.034595
head,2222,0.034517
union,2219,0.03447
land,2199,0.03416
established,2193,0.034067
site,2188,0.033989
royal,2177,0.033818
force,2177,0.033818
region,2175,0.033787
museum,2172,0.03374
street,2170,0.033709
much,2166,0.033647
having,2159,0.033538
co,2155,0.033476
next,2148,0.033368
television,2145,0.033321
right,2136,0.033181
western,2136,0.033181
way,2135,0.033166
just,2133,0.033135
we,2126,0.033026
given,2110,0.032777
media,2110,0.032777
point,2101,0.032637
teams,2096,0.03256
route,2094,0.032529
services,2090,0.032467
using,2087,0.03242
make,2083,0.032358
various,2080,0.032311
even,2077,0.032265
awards,2076,0.032249
total,2057,0.031954
round,2053,0.031892
society,2052,0.031876
described,2027,0.031488
per,2026,0.031472
young,2019,0.031364
period,2017,0.031333
present,2009,0.031208
class,1988,0.030882
level,1981,0.030773
went,1972,0.030634
half,1970,0.030602
short,1963,0.030494
project,1956,0.030385
version,1952,0.030323
wrote,1951,0.030307
board,1950,0.030292
without,1948,0.030261
act,1941,0.030152
produced,1934,0.030043
joined,1914,0.029733
become,1906,0.029608
story,1899,0.0295
came,1897,0.029468
players,1894,0.029422
professional,1893,0.029406
students,1892,0.029391
design,1892,0.029391
modern,1889,0.029344
love,1882,0.029235
live,1879,0.029189
written,1877,0.029158
race,1873,0.029096
language,1867,0.029002
days,1864,0.028956
take,1861,0.028909
science,1861,0.028909
started,1860,0.028894
square,1857,0.028847
hall,1854,0.0288
making,1837,0.028536
created,1837,0.028536
release,1836,0.028521
free,1819,0.028257
special,1816,0.02821
elected,1816,0.02821
committee,1816,0.02821
records,1813,0.028164
program,1812,0.028148
post,1810,0.028117
tournament,1808,0.028086
win,1808,0.028086
video,1801,0.027977
control,1800,0.027962
northern,1798,0.027931
returned,1792,0.027837
lake,1791,0.027822
red,1789,0.027791
business,1781,0.027666
married,1774,0.027558
common,1767,0.027449
health,1759,0.027325
considered,1757,0.027294
institute,1737,0.026983
minister,1729,0.026859
recorded,1728,0.026843
grand,1728,0.026843
founded,1722,0.02675
few,1718,0.026688
southern,1715,0.026641
areas,1715,0.026641
track,1712,0.026595
fire,1711,0.026579
though,1704,0.02647
every,1703,0.026455
worked,1702,0.026439
lost,1700,0.026408
studies,1698,0.026377
events,1692,0.026284
human,1691,0.026268
results,1691,0.026268
position,1689,0.026237
term,1688,0.026222
run,1687,0.026206
others,1686,0.026191
information,1684,0.02616
battle,1682,0.026129
similar,1679,0.026082
coach,1676,0.026035
full,1675,0.02602
chief,1671,0.025958
star,1671,0.025958
summer,1667,0.025896
together,1665,0.025865
result,1664,0.025849
continued,1664,0.025849
forces,1658,0.025756
railway,1652,0.025663
signed,1651,0.025647
event,1651,0.025647
police,1649,0.025616
important,1648,0.0256
example,1645,0.025554
how,1644,0.025538
re,1636,0.025414
match,1636,0.025414
notes,1633,0.025367
china,1632,0.025352
case,1630,0.025321
open,1626,0.025259
lead,1622,0.025197
related,1615,0.025088
rock,1610,0.02501
opened,1607,0.024964
songs,1602,0.024886
mi,1601,0.02487
female,1601,0.02487
episode,1599,0.024839
appointed,1598,0.024824
republic,1597,0.024808
arts,1594,0.024762
formed,1593,0.024746
medal,1591,0.024715
sea,1590,0.024699
popular,1590,0.024699
rights,1588,0.024668
character,1588,0.024668
good,1584,0.024606
little,1583,0.024591
van,1579,0.024529
festival,1577,0.024498
points,1563,0.02428
once,1560,0.024233
working,1555,0.024156
light,1551,0.024094
across,1549,0.024063
construction,1548,0.024047
my,1547,0.024031
sports,1542,0.023954
eastern,1540,0.023923
body,1537,0.023876
radio,1533,0.023814
performance,1527,0.023721
style,1524,0.023674
killed,1517,0.023565
mother,1514,0.023519
seven,1513,0.023503
wife,1504,0.023364
playing,1500,0.023301
civil,1500,0.023301
upon,1497,0.023255
schools,1493,0.023193
personal,1493,0.023193
appeared,1491,0.023162
current,1488,0.023115
never,1468,0.022804
despite,1466,0.022773
brown,1462,0.022711
originally,1456,0.022618
stage,1453,0.022571
tour,1451,0.02254
developed,1451,0.02254
debut,1448,0.022494
study,1448,0.022494
books,1447,0.022478
japan,1446,0.022463
space,1445,0.022447
eight,1439,0.022354
should,1436,0.022307
addition,1432,0.022245
average,1429,0.022198
training,1425,0.022136
largest,1422,0.02209
low,1421,0.022074
saint,1420,0.022059
months,1414,0.021965
instead,1412,0.021934
night,1411,0.021919
professor,1410,0.021903
cross,1408,0.021872
gold,1404,0.02181
com,1391,0.021608
away,1390,0.021593
academy,1385,0.021515
sold,1384,0.021499
reported,1383,0.021484
help,1381,0.021453
himself,1379,0.021422
movement,1378,0.021406
week,1378,0.021406
throughout,1377,0.021391
action,1374,0.021344
go,1374,0.021344
directed,1367,0.021235
federal,1367,0.021235
campaign,1365,0.021204
return,1364,0.021189
fourth,1359,0.021111
culture,1359,0.021111
less,1359,0.021111
thus,1357,0.02108
middle,1357,0.02108
conference,1354,0.021033
ed,1348,0.02094
brother,1343,0.020862
competition,1340,0.020816
living,1339,0.0208
attack,1336,0.020754
census,1331,0.020676
car,1330,0.020661
followed,1330,0.020661
available,1328,0.020629
leading,1325,0.020583
does,1319,0.02049
countries,1319,0.02049
previous,1319,0.02049
person,1316,0.020443
province,1314,0.020412
includes,1312,0.020381
kingdom,1312,0.020381
section,1307,0.020303
private,1305,0.020272
championships,1297,0.020148
taken,1297,0.020148
library,1296,0.020132
news,1295,0.020117
seen,1290,0.020039
change,1288,0.020008
big,1288,0.020008
data,1288,0.020008
eventually,1288,0.020008
economic,1287,0.019993
groups,1287,0.019993
front,1286,0.019977
miles,1275,0.019806
winning,1271,0.019744
designed,1269,0.019713
green,1269,0.019713
remained,1268,0.019697
lower,1262,0.019604
hospital,1262,0.019604
features,1259,0.019558
completed,1258,0.019542
foreign,1257,0.019527
woman,1255,0.019495
base,1253,0.019464
range,1253,0.019464
daughter,1252,0.019449
shot,1251,0.019433
films,1249,0.019402
least,1248,0.019387
ground,1246,0.019356
type,1245,0.01934
finished,1244,0.019325
gave,1241,0.019278
stated,1239,0.019247
magazine,1239,0.019247
primary,1238,0.019231
ten,1235,0.019185
trade,1233,0.019154
model,1232,0.019138
performed,1232,0.019138
historical,1231,0.019123
edition,1230,0.019107
replaced,1229,0.019092
either,1229,0.019092
independent,1222,0.018983
rather,1219,0.018936
empire,1218,0.018921
bank,1217,0.018905
close,1214,0.018859
me,1214,0.018859
capital,1210,0.018796
get,1208,0.018765
process,1206,0.018734
awarded,1203,0.018688
management,1199,0.018626
above,1199,0.018626
today,1198,0.01861
peter,1197,0.018594
cultural,1196,0.018579
governor,1193,0.018532
ft,1191,0.018501
artist,1190,0.018486
organization,1189,0.01847
natural,1189,0.01847
politician,1188,0.018455
historic,1185,0.018408
usually,1185,0.018408
contract,1182,0.018361
leader,1177,0.018284
dead,1176,0.018268
regional,1176,0.018268
future,1175,0.018253
network,1174,0.018237
goal,1172,0.018206
collection,1167,0.018128
actor,1166,0.018113
industry,1165,0.018097
singer,1163,0.018066
featured,1162,0.018051
aircraft,1155,0.017942
valley,1153,0.017911
higher,1152,0.017895
cast,1152,0.017895
notable,1151,0.01788
commission,1147,0.017818
studio,1146,0.017802
mid,1145,0.017787
placed,1141,0.017725
review,1139,0.017694
writing,1138,0.017678
must,1137,0.017662
mayor,1135,0.017631
outside,1135,0.017631
sent,1129,0.017538
officer,1128,0.017523
possible,1127,0.017507
systems,1126,0.017492
active,1126,0.017492
author,1123,0.017445
almost,1120,0.017398
basketball,1120,0.017398
beginning,1117,0.017352
security,1116,0.017336
catholic,1114,0.017305
regular,1113,0.01729
previously,1112,0.017274
provided,1110,0.017243
currently,1110,0.017243
via,1106,0.017181
our,1105,0.017165
technology,1103,0.017134
coast,1102,0.017119
christian,1099,0.017072
article,1098,0.017057
sources,1096,0.017026
senior,1096,0.017026
assembly,1095,0.01701
medical,1095,0.01701
reading,1094,0.016994
success,1093,0.016979
market,1093,0.016979
involved,1090,0.016932
whose,1090,0.016932
parts,1089,0.016917
roman,1086,0.01687
behind,1086,0.01687
bay,1082,0.016808
writer,1078,0.016746
introduced,1077,0.01673
food,1077,0.01673
highway,1076,0.016715
added,1074,0.016684
super,1074,0.016684
foundation,1071,0.016637
soviet,1071,0.016637
staff,1071,0.016637
able,1069,0.016606
traditional,1068,0.016591
cases,1067,0.016575
degree,1066,0.01656
shows,1065,0.016544
generally,1064,0.016528
structure,1064,0.016528
municipality,1063,0.016513
listed,1063,0.016513
unit,1062,0.016497
significant,1060,0.016466
report,1060,0.016466
sometimes,1058,0.016435
child,1057,0.01642
blue,1057,0.01642
far,1055,0.016389
saw,1054,0.016373
secretary,1053,0.016358
policy,1052,0.016342
dutch,1052,0.016342
individual,1052,0.016342
real,1050,0.016311
congress,1047,0.016264
loss,1047,0.016264
owned,1047,0.016264
defeated,1043,0.016202
buildings,1041,0.016171
martin,1039,0.01614
prior,1038,0.016125
allowed,1037,0.016109
soon,1037,0.016109
families,1036,0.016093
era,1032,0.016031
selected,1031,0.016016
nine,1029,0.015985
location,1028,0.015969
sound,1026,0.015938
bill,1026,0.015938
names,1025,0.015923
operations,1022,0.015876
brought,1022,0.015876
month,1022,0.015876
initially,1022,0.015876
associated,1020,0.015845
attended,1020,0.015845
parliament,1019,0.015829
reached,1015,0.015767
fight,1015,0.015767
test,1015,0.015767
ever,1015,0.015767
victory,1013,0.015736
limited,1013,0.015736
key,1013,0.015736
energy,1013,0.015736
executive,1012,0.015721
especially,1012,0.015721
operation,1010,0.01569
ship,1010,0.01569
smith,1010,0.01569
religious,1009,0.015674
captain,1007,0.015643
mark,1006,0.015627
legal,1005,0.015612
too,1004,0.015596
changed,1003,0.015581
strong,1002,0.015565
size,1002,0.015565
justice,1001,0.01555
novel,1001,0.01555
hill,1000,0.015534
navy,1000,0.015534
complete,999,0.015519
start,999,0.015519
anti,998,0.015503
hit,996,0.015472
archived,994,0.015441
earth,991,0.015394
put,990,0.015379
plant,987,0.015332
artists,986,0.015317
mass,985,0.015301
standard,984,0.015286
ended,984,0.015286
seasons,983,0.01527
additional,982,0.015255
online,982,0.015255
lived,982,0.015255
manager,981,0.015239
highest,980,0.015224
means,980,0.015224
biography,980,0.015224
regiment,978,0.015192
decided,977,0.015177
below,977,0.015177
journal,976,0.015161
date,975,0.015146
property,974,0.01513
successful,974,0.01513
come,973,0.015115
provide,972,0.015099
length,970,0.015068
stone,970,0.015068
prince,969,0.015053
hand,966,0.015006
singles,966,0.015006
hockey,963,0.014959
rugby,959,0.014897
commercial,959,0.014897
command,958,0.014882
elections,958,0.014882
launched,958,0.014882
met,956,0.014851
source,954,0.01482
past,952,0.014789
guitar,952,0.014789
required,950,0.014758
self,950,0.014758
native,950,0.014758
units,949,0.014742
master,948,0.014726
closed,946,0.014695
interest,946,0.014695
theory,946,0.014695
claimed,945,0.01468
plays,944,0.014664
administration,944,0.014664
numerous,944,0.014664
money,941,0.014618
terms,941,0.014618
towards,941,0.014618
annual,940,0.014602
course,939,0.014587
airport,939,0.014587
characters,938,0.014571
status,938,0.014571
evidence,936,0.01454
youth,936,0.01454
heart,935,0.014525
musical,932,0.014478
taking,932,0.014478
student,932,0.014478
aged,931,0.014462
infantry,929,0.014431
response,929,0.014431
queen,929,0.014431
machine,929,0.014431
wide,928,0.014416
approximately,927,0.0144
chart,924,0.014354
places,924,0.014354
goals,923,0.014338
word,921,0.014307
scored,921,0.014307
changes,921,0.014307
beach,921,0.014307
plan,920,0.014292
opening,920,0.014292
access,919,0.014276
whom,919,0.014276
pp,916,0.014229
activities,915,0.014214
chairman,913,0.014183
represented,912,0.014167
lord,911,0.014152
democratic,909,0.014121
increased,908,0.014105
wales,908,0.014105
flight,907,0.01409
earlier,906,0.014074
sir,906,0.014074
port,906,0.014074
male,900,0.013981
matches,900,0.013981
find,899,0.013965
issues,898,0.01395
subsequently,897,0.013934
text,897,0.013934
background,897,0.013934
ancient,897,0.013934
producer,896,0.013919
becoming,894,0.013888
itself,894,0.013888
nations,893,0.013872
caused,890,0.013825
minor,889,0.01381
entered,888,0.013794
starting,888,0.013794
boys,887,0.013779
don,886,0.013763
camp,886,0.013763
stadium,885,0.013748
pacific,883,0.013717
complex,883,0.013717
hours,881,0.013686
prize,880,0.01367
bridge,878,0.013639
multiple,878,0.013639
iii,878,0.013639
overall,878,0.013639
mm,878,0.013639
cities,877,0.013624
genus,876,0.013608
financial,876,0.013608
fall,874,0.013577
weeks,872,0.013546
thought,872,0.013546
particularly,872,0.013546
islands,871,0.01353
retrieved,871,0.01353
bishop,871,0.01353
specific,870,0.013515
practice,869,0.013499
upper,869,0.013499
peace,869,0.013499
lines,868,0.013484
minutes,866,0.013453
secondary,864,0.013422
recent,864,0.013422
noted,863,0.013406
feet,861,0.013375
rest,859,0.013344
issue,857,0.013313
forest,857,0.013313
mission,855,0.013282
defense,855,0.013282
nature,852,0.013235
channel,851,0.01322
mountain,850,0.013204
running,850,0.013204
referred,848,0.013173
actress,847,0.013158
already,846,0.013142
movie,845,0.013126
influence,845,0.013126
remains,844,0.013111
albums,844,0.013111
affairs,843,0.013095
majority,842,0.01308
contains,842,0.01308
runs,842,0.01308
spent,841,0.013064
appearance,840,0.013049
rural,839,0.013033
stars,838,0.013018
score,838,0.013018
vice,837,0.013002
oil,837,0.013002
junior,836,0.012987
champion,835,0.012971
relationship,834,0.012956
critical,834,0.012956
give,834,0.012956
programs,833,0.01294
judge,831,0.012909
lee,831,0.012909
rate,828,0.012862
senate,828,0.012862
assistant,827,0.012847
fact,827,0.012847
feature,827,0.012847
operated,827,0.012847
entire,824,0.0128
decision,823,0.012785
commander,823,0.012785
fort,823,0.012785
mostly,823,0.012785
vol,823,0.012785
god,822,0.012769
going,821,0.012754
nation,820,0.012738
need,819,0.012723
digital,818,0.012707
baseball,817,0.012691
effect,817,0.012691
better,816,0.012676
vocals,815,0.01266
opera,815,0.01266
jean,814,0.012645
material,813,0.012629
believed,811,0.012598
authority,811,0.012598
border,811,0.012598
here,810,0.012583
view,809,0.012567
fifth,808,0.012552
passed,807,0.012536
forced,807,0.012536
drama,807,0.012536
winner,805,0.012505
gallery,804,0.01249
promoted,804,0.01249
academic,803,0.012474
champions,803,0.012474
episodes,801,0.012443
deal,801,0.012443
castle,801,0.012443
experience,800,0.012427
supported,798,0.012396
longer,798,0.012396
silver,797,0.012381
cause,797,0.012381
statistics,796,0.012365
marine,796,0.012365
tax,796,0.012365
global,793,0.012319
engineering,791,0.012288
literature,791,0.012288
republican,790,0.012272
supreme,790,0.012272
larger,790,0.012272
meeting,790,0.012272
income,788,0.012241
subject,787,0.012225
room,786,0.01221
page,786,0.01221
naval,786,0.01221
proposed,786,0.01221
troops,785,0.012194
seat,784,0.012179
heavy,783,0.012163
ran,783,0.012163
relations,781,0.012132
leadership,781,0.012132
increase,781,0.012132
create,781,0.012132
greater,780,0.012117
recording,780,0.012117
move,780,0.012117
fellow,780,0.012117
oxford,779,0.012101
effects,779,0.012101
vote,778,0.012086
winter,778,0.012086
ministry,778,0.012086
workers,777,0.01207
studied,777,0.01207
retired,777,0.01207
friends,777,0.01207
ice,776,0.012055
forms,775,0.012039
particular,773,0.012008
voice,773,0.012008
dance,770,0.011961
face,770,0.011961
older,769,0.011946
therefore,769,0.011946
cost,769,0.011946
transport,768,0.01193
companies,768,0.01193
presented,768,0.01193
famous,767,0.011915
cover,767,0.011915
tower,767,0.011915
certain,762,0.011837
jr,762,0.011837
moon,762,0.011837
got,761,0.011822
pro,759,0.01179
helped,759,0.01179
sister,759,0.01179
variety,758,0.011775
surface,757,0.011759
engine,755,0.011728
serve,754,0.011713
analysis,754,0.011713
uses,751,0.011666
parents,750,0.011651
crew,750,0.011651
double,749,0.011635
themselves,749,0.011635
prime,748,0.01162
distribution,746,0.011589
meaning,746,0.011589
earned,746,0.011589
finally,746,0.011589
responsible,745,0.011573
individuals,745,0.011573
duke,744,0.011557
host,743,0.011542
bar,742,0.011526
serving,740,0.011495
tracks,740,0.011495
corps,738,0.011464
rules,738,0.011464
always,737,0.011449
likely,735,0.011418
stories,734,0.011402
rule,734,0.011402
care,734,0.011402
words,734,0.011402
block,734,0.011402
letter,733,0.011387
conditions,731,0.011356
consists,731,0.011356
raised,730,0.01134
principal,730,0.01134
finals,730,0.01134
soldiers,729,0.011324
estate,728,0.011309
alongside,728,0.011309
occurred,727,0.011293
federation,726,0.011278
direct,726,0.011278
composed,726,0.011278
whether,725,0.011262
train,725,0.011262
wing,723,0.011231
footballer,722,0.011216
leave,720,0.011185
housing,720,0.011185
nearly,719,0.011169
impact,718,0.011154
leaving,718,0.011154
jack,713,0.011076
deputy,713,0.011076
physical,712,0.01106
sciences,712,0.01106
description,711,0.011045
administrative,711,0.011045
concept,711,0.011045
draw,710,0.011029
mainly,709,0.011014
agent,708,0.010998
might,708,0.010998
officially,707,0.010983
positive,707,0.010983
latter,706,0.010967
appears,706,0.010967
wood,705,0.010952
friend,705,0.010952
territory,705,0.010952
turned,704,0.010936
failed,703,0.010921
elements,703,0.010921
turn,703,0.010921
separate,703,0.010921
volume,702,0.010905
officers,701,0.01089
